text,timestamp,rating
"This film had no depth. It skims only the surface. When you can't wait until the end so you can leave the theater you know it's not that good. 
A visual for the eyes only
For the mind you could fall asleep.",2026-02-22T14:35:36.623Z,STAR_2
"Disappointed. Hollywood added absolutely NOTHING POSITIVE to this, but managed to ruin a great classic with its diabolical twists. Kind of disgusting actually.",2026-02-22T14:35:10.999Z,STAR_2
completely different than the book.,2026-02-22T13:29:29.930Z,STAR_0_5
Best movie I’ve seen this year,2026-02-22T07:36:28.178Z,STAR_5
"Complete butchery of the classic novel. This movie is the poster child for the idea of “if these characters had healthy communication, NONE of this would have happened.” Also I wish there’d been more Jacob Elordi.",2026-02-22T07:25:00.498Z,STAR_2
"Incredible. Loved the acting, cinematography, and this unique take on a classic. It was moody, romantic and better than my expectations. Loved it but recognize it’s not for everyone. If you liked the classic tale you might not enjoy this version. Would recommend watching though.",2026-02-22T07:10:39.978Z,STAR_5
loved the intense chemistry between the main characters,2026-02-22T06:47:17.888Z,STAR_4
I have not read the book yet!!!! BUT the movie captivated me and terrified me all together. I cried . I sobbed! And I am obsessed. And I’m sure the book will be even more amazing but the actors did amazing .,2026-02-22T06:44:46.377Z,STAR_5
"where did HC go for 5 yrs? how he made his money? Nina, good or bad?",2026-02-22T06:24:00.357Z,STAR_3
Such a creative and visually stunning adaptation! Margot Robbie and Jacob Elordi had such an intense chemistry! LOVED IT!!!!,2026-02-22T04:43:19.786Z,STAR_5
"I liked the modern little updates, but the movie was too long and a bit slow. And although Margot Robbie is a beautiful woman, I found her to be too old for the leading man -Heathcliff. The chemistry just wasn’t there.",2026-02-22T04:27:23.437Z,STAR_3
"Visually stunning. Outrageous sets. A story of love, obsession, and the futility of resentment.",2026-02-22T02:54:08.098Z,STAR_4
"Movie was picturesque with great acting.  I've never read the book, so I can't comment on how faithful the movie was.  The story, while disturbing in a few ways, was well told.",2026-02-22T02:02:28.216Z,STAR_5
The original story was way better I didn’t like how they changed and embellished the story,2026-02-22T01:59:03.298Z,STAR_2_5
"Fantastic soundtrack and cinematography. The acting the drama and the romance were fantastic. amazing, highly recommend. love the book. Love this movie version even more.",2026-02-22T00:43:56.070Z,STAR_5
Takes you through a lot of emotions and feelings.. quickly.. worth seeing!..:),2026-02-22T00:42:06.400Z,STAR_4_5
"I found this inspired by Movie painfully beautiful. The acting top to bottom was amazing. The cinematography and the rich colors mixed with the mood of the moors. I can see why some people dont like it its not a one for one for the book. Think Baz Lurhmans Romeo and Juliet, its very reminiscent of that type of adaptation. The soundtrack love it or hate it, but man it is beautiful",2026-02-22T00:32:47.869Z,STAR_4_5
"First film…Wuthering Heights.  And, I did not get this film in fact, I was bored!  After Promising Young Woman, I thought this director was going to be great, but this is the second film she has done that has been a disappointment to me…",2026-02-21T23:48:31.525Z,STAR_2
"It was like watching a soft porn flick! Nothing like the book or other movies! From the beginning with a hanging made to sound like intercourse, to near the end of the movie with sexual innuendo and lust, it was very dark! It was very different but definitely not what I expected! Definitely not suitable for young people!!",2026-02-21T23:47:44.802Z,STAR_3
It was just ok. This could’ve been a Netflix movie.,2026-02-21T23:26:57.253Z,STAR_3
"as long as you aren't a die hard of the book, or can suspend the reality of what the movie is supposed to entail bookwise it's pretty enjoyable. I don't really buy Margot Robbie's chemistry with heathcliff but Jacob Elordi is definitely the selling point of this movie for me anyway",2026-02-21T23:17:17.617Z,STAR_5
Best picture of the year,2026-02-21T23:07:15.695Z,STAR_5
"loved absolutely everything about it, the vibes, the cinematography, the outfits. the yearning destroyed me. one of the best movies i’ve ever seen",2026-02-21T23:01:15.246Z,STAR_5
"I can not give it enough stars. while not a direct image of the book it kept the passion, the pain, and the obsession. it was gothic romance with a dash of spice.",2026-02-21T22:30:20.032Z,STAR_5
A masterpiece! Intense,2026-02-21T22:19:23.912Z,STAR_5
"Dud not like this version.  Too twisted and dark.  Everything is so exaggerated for me. It’s not romantic at all, and I hated him for what he was doing because it made him an ugly awful person instead of a person who was in love.",2026-02-21T22:12:10.943Z,STAR_1
Costuming was great. The movie was really good but the subject is sort of depressing. I read the book years ago and had forgotten how sad the storyline is.,2026-02-21T21:22:37.424Z,STAR_3
Great movie. Still maintains the concepts of the book although expounded a good bit. Dark romance in its originality.,2026-02-21T21:05:23.497Z,STAR_4_5
"It was very raw , emotional, and intense",2026-02-21T20:30:59.169Z,STAR_3
Great adaptation of a classic we read in high school.,2026-02-21T17:40:03.346Z,STAR_5
AMAZING Film!!!!!!!!!,2026-02-21T17:24:10.921Z,STAR_5
"I'm not a fan of the book but was intrigued by the movie. It did not disappoint, visually gorgeous, plenty of absurd moments",2026-02-21T15:51:13.936Z,STAR_4
Very loosely based on the book. Vulgar and laced with bdsm. A disappointment that Hollywood perverts yet another story.,2026-02-21T15:38:39.028Z,STAR_0_5
best movie ever made,2026-02-21T15:17:01.722Z,STAR_5
"I WAS SURPRISED AT THE END, HAD ME N MY +1 BAWLING OUR EYES OUT THE WHOLE MOVIE 😭🤧",2026-02-21T15:11:48.613Z,STAR_5
"Made my husband go with me…..wish I watched it with a GF, he hated it! I liked it. The two top characters are mesmerizing to watch! The scenery and soundtrack are great",2026-02-21T14:54:52.181Z,STAR_3_5
"forever love romance, tissues much needed but such a great movie",2026-02-21T14:26:20.347Z,STAR_5
"A great way to spend a couple hours! Beautiful scenery and gowns! The steamy, hot scenes will make you blush! An absolute must see! I LOVED it!",2026-02-21T12:05:55.670Z,STAR_5
It just wasn’t my cup of tea.,2026-02-21T10:49:05.783Z,STAR_1
Toxic behavior from both sexes. Good songs/beats. Love Margot robbie! I’m here for the vibes ending caught us off guard…,2026-02-21T09:24:27.717Z,STAR_3
Bold. Amazing cinematography,2026-02-21T07:01:15.191Z,STAR_5
"Its beautiful, brooding, twisty, and perfectly spicy. Is it exactly like the book? who cares? I just want to go, support art, made by women, and escape reality with my best gals. Music, costumes, sets, supporting cast, J & M-its all great. Haters, keep it to yourself.",2026-02-21T06:31:24.607Z,STAR_5
Too much sex not enough plot,2026-02-21T06:19:33.202Z,STAR_1
"Where do I even start? This is one of the greatest movies I've ever seen in my lifetime. I laughed, cried, and fell in love with both the aesthetics and visuals, as well as the characters and their storyline. Overall, an amazing film and I may be back to see it once again.",2026-02-21T05:57:25.179Z,STAR_5
So sad but beautiful great acting,2026-02-21T05:09:08.708Z,STAR_5
Sooooooo good.  Moody.  Yearning.  Forbidden.,2026-02-21T04:39:23.325Z,STAR_4_5
Story was amazing!!!,2026-02-21T03:39:54.671Z,STAR_4_5
"Most romantic and heartbreaking love story I’ve ever seen! I rarely cry at movies but sobbed during this. Every actor was amazing and the costumes, lighting, and soundtrack 10/10!",2026-02-21T02:07:31.529Z,STAR_5
Not at all like the other Wuthering Heights. Think R rated Tim Burton without a good story line. I now understand why less then a quarter of the theater was occupied and it was only playing in one theater.,2026-02-21T01:49:03.141Z,STAR_2
Acting was decent but way too long and plot dragged immensely. I was also surprised but the amount of sexual contentnot that Im a prude.,2026-02-21T01:48:39.380Z,STAR_2
We left before the movie finished.  Horrible movie.  Obviously it must have been the goal with this film to make sure that 80% of viewers never read the book and 80% of the viewers have never seen the original film.,2026-02-21T00:52:17.665Z,STAR_1
"If I could give it a zero I would! I absolutely hate this movie. He turns into a vindictive evil manipulative user. She basically starves herself to death. made me feel like I needed to go home and take a shower. It was so disgusting. It is not a tragic love story! It is a reminder of how completely horrible people can be. Its not sad, it is completely depressing. I am disappointed that Margo Robbie would choose this role. Barbie was uplifting to women that we have a voice and a choice and can control our destiny . This movie is degrading to women everywhere.",2026-02-21T00:03:39.566Z,STAR_1
"Beautiful love story ! I don’t think they could’ve picked any better actresses or actors for this movie. Everything was perfect, such a beautiful love story ❤️",2026-02-20T23:47:03.397Z,STAR_5
Interesting film. Spectacular vistas. Great chemistry between the majors in line with the novel.,2026-02-20T23:14:31.274Z,STAR_4
It was so good and moving. Had me at the edge of my seat. Cried like a baby after the movie. Despite my tears it was a great movie. Loved it so much! ♥️ definitely one the best romantic movies to exist.,2026-02-20T23:07:05.555Z,STAR_5
"Truly didn’t know what was going to happen next, had my attention the entire time. Even shed a few tears",2026-02-20T19:24:31.508Z,STAR_5
"This is the most depressing movie I can ever remember watching. Not one good thing happens, and it seems that it was gloomy and raining the entire movie.  The characters were all mean and unlikable. What's the matter with Hollywood that they can't seem to get out of their own way in their ONLY goal, to entertain.",2026-02-20T19:08:34.342Z,STAR_0_5
Great movie pretty true to the book,2026-02-20T16:31:05.152Z,STAR_5
"Most disappointing. The original film was romantic and tragic. The new rendition is both vulgar and cruel. The film is physically very beautiful, but the altered scenario awful.
I was most disappointed.",2026-02-20T16:27:54.480Z,STAR_1
"Love, Love, Love this movie! I've already seen it twice!",2026-02-20T14:27:43.388Z,STAR_5
"I cannot stop thinking about this movie! Emerald Fennel did such a stunning job with capturing the Gothic moodiness of Wuthering Heights and the longing. It would have been what Emily Bront wrote had she lived in this time of history. The costumes are gorgeous, the soundtrack is haunting. Its certainly not the book, but dare I say its even better? Its such a visceral experience and absolutely one that wont leave you without an opinion.",2026-02-20T13:43:24.863Z,STAR_5
Glorified fan fiction.,2026-02-20T13:15:16.850Z,STAR_1_5
I watched previous iterations of this film which were good. I think this modern take fits along side those films.,2026-02-20T10:45:53.283Z,STAR_4
"Come for the outstanding cinematography, stay for the immediate regret. Its a horror movie in a period-piece costume. The acting is nothing to write home about, and the plot is just a relentless parade of misery. Unless you enjoy beautiful sets paired with a total loss of the will to live, skip it.""",2026-02-20T09:46:25.232Z,STAR_2
"If you sorta liked this movie, you are going to LOVE Pillion ❤️ 
Not worth the 2 hr 55 min either.",2026-02-20T07:11:18.600Z,STAR_2_5
Great acting by Jacob Elordi and Margot Robbie. Product design is fantastic. Wonderful 19th Century costumes and sets throughout the entire film. Excellent symphonic film score used in the entire film. Compliments the storyline and overall narrative.,2026-02-20T06:57:35.984Z,STAR_5
Loveeeed it so much! Novela style and acting was amazing. I truly enjoyed it with my gfs.,2026-02-20T05:46:55.490Z,STAR_5
"beautiful doesn't even begin to describe this movie. the soundtrack was so good I went and picked it up on vinyl after seeing it the first time, then took my mom to see it the second time I went. still thinking about seeing it again, and I rarely go to the theaters at all. let alone for the same movie twice. cinematography is great, the framing of the shots make this such a masterpiece. the costumes are gorgeous, the hairstyles are everything, this is such an emotional watch, high highs and low lows, the ending wrecked me, as a recent widower. planning to get tattoos for this movie, it's so good. if I could buy it on streaming now, I would.",2026-02-20T05:21:38.759Z,STAR_5
Tore me apart in the best way possible.,2026-02-20T04:55:36.040Z,STAR_4_5
My wife has read the book and I am a victim. She hated it too.,2026-02-20T04:35:44.738Z,STAR_0_5
"“Wuthering Heights” is hauntingly enchanting. As some who has read the original book, Margot Robbie is truly amazing as Cathy. I fell in love with the aesthetic, the cinematography and Margot Robbie’s performance. I cannot wait to see it again and again.",2026-02-20T04:18:34.041Z,STAR_5
we liked it. intense but not what the trailers meant. highly recommend,2026-02-20T04:07:59.896Z,STAR_5
"Great acting, lovely actors, too bad they had to film in sooo much rain.  Felt sorry for them.  Loved the show. A great show for gal pals.",2026-02-20T04:01:41.419Z,STAR_5
"It's just not a good movie, I went in blind having never read the book and the movie is just horrible.  It relies too heavily on the *steamy"" scenes to distract you from the trainwreck it is.  It doesn't fully commit to anything and is just, there.  If I wasn't with others I would of walked out and went home.",2026-02-20T03:47:52.012Z,STAR_0_5
definitely a twist on the book! but focusing on Cathy and heathcliffe's love was a great story to see!,2026-02-20T03:45:28.146Z,STAR_5
This movie is an unmitigated disaster if you know and love the book like I do. It is so untrue to the book in so many ways that it retains nothing of the book's heart. I could barely tolerate sitting there until it was over.,2026-02-20T03:24:28.059Z,STAR_0_5
a tad long- but we enjoyed it,2026-02-20T03:12:37.742Z,STAR_5
The acting is so good and the painful way they love each other is so sad.,2026-02-20T02:47:10.218Z,STAR_5
I am so obsessed with the bonding and the deep twisted love between Cathy and Heathcliff.  Both Margot Robbie and Jacob Elordi’s acting are superb! Their chemistry is so wonderful and captivating. I need to watch a second time to process all of it.  10/10!  Highly Recommended!,2026-02-20T01:47:40.376Z,STAR_5
I thought the movie was overall very good! There were some parts that didnt make sense and a lot of freaky scenes but besides that very good movie!!,2026-02-20T00:46:23.739Z,STAR_4_5
"Too dark, rainy and bloody. It may be a love story, but it is depressing.",2026-02-19T23:56:13.751Z,STAR_3
It was fine. But it neededEDITING. !!  This movie was 30 min too long. We get it. They are hot for each otherbut. Woof. Thats enough.  Margot Robbie is beautiful. Costumes and sets amazing (even to show poverty). But thats all I got   Glad it was a matineee,2026-02-19T22:54:01.217Z,STAR_2
"Loved it! It was pretty close to the book, I feel it was a great adaptation. The story ends with Catherine’s death and the death of the baby which is the one difference from the book. Loved the use of colors to separate from both residences.",2026-02-19T22:39:07.535Z,STAR_5
"Me encantó, lloré, reí. Obvio resumida xq es un libro muy largo y detallado pero estaba muy buena",2026-02-19T22:37:26.230Z,STAR_5
Very long but done exceptionally well,2026-02-19T21:39:48.648Z,STAR_5
I loved the Romeo Juliet vibe this movie had as I’ve never read the book so I didn’t know what to expect but it was a tragic and beautiful love story that I cannot wait to watch again Margot and jacob really did it justice as I felt like I was yearning right there with them,2026-02-19T21:30:20.516Z,STAR_5
I did not like it at all.  I did not enjoyed it.  Wasted my money.   Too much hate in the drama.,2026-02-19T21:26:01.679Z,STAR_0_5
"Im very conflicted about this movie. I think the actors had wonderful chemistry and the passion and love story was believable.  My problem is with the scenes that were, in my opinion, soft  porn and very unnecessary! a masturbation scene?  Really?!!! Not necessary!  There were other dark scenes that did not need to be there!  It starts out very dark and had an evil feel that did not lend to the story in my opinion! If youre a fan of the original Wuthering Heights you will definitely find fault with this version.  Do better Hollywood!",2026-02-19T20:49:40.399Z,STAR_3
Loved it. Beautiful.,2026-02-19T18:56:13.051Z,STAR_5
I’m shocked that this movie was not made with the lovely story based off the book. Totally felt like soft porn.,2026-02-19T18:42:03.512Z,STAR_0_5
A fantastic modern interpretation of the Bronte classic. It gets the essence of the novel across in a stunningly beautiful abd lush film without being weighed down by the density of the novel itselff.,2026-02-19T18:03:06.124Z,STAR_5
So beautiful and romantic! I loved the costuming and really felt the stars chemistry better than the book!,2026-02-19T17:22:26.357Z,STAR_5
"The plot is ridiculous and driven by shock value, and almost every major character is detestable, to the point that I was hoping for all of them to die about halfway through the film.",2026-02-19T16:25:44.319Z,STAR_1
I simply cannot recommend this movie to anyone. All movies are supposed to be pretty that is the bare minimum of a movies job. This film could have been on mute and it would have been a better experience.,2026-02-19T16:23:20.467Z,STAR_1
Everything was perfcet!,2026-02-19T15:24:21.194Z,STAR_5
"Loved everything about this film. Both Jacob Elordi and Margot Robbie were excellent as Heathcliff and Cathy. The other actors, especially the girl who played the young Catherine and the man who played Catherines father. The costume design was wonderful as was the beautiful scenery. The musical score was outstanding, as well.",2026-02-19T14:21:33.872Z,STAR_5
Not my style. Felt like the trailer was misleading from what the movie was in the end.,2026-02-19T14:06:49.660Z,STAR_2
So emotional and intense.,2026-02-19T13:56:58.520Z,STAR_5
"This was the first time Ive ever seen a movie that was better than the book!  A bit salacious, but beautifully done.",2026-02-19T12:18:15.997Z,STAR_4
I only gave this one three stars because I felt like they deviated from the original too much. There was also too much sadistic  love scenes for my taste and the way the movie started was just crazy starting with a hanging party! What??? Go see it for yourself though and see what YOU think!,2026-02-19T12:02:09.606Z,STAR_3
Emerald Fennell stuns and dissolves any and all expectation. Must see in theaters. Not for the faint of heart. A luxury to experience.,2026-02-19T09:36:41.197Z,STAR_5
Romeo and Juliet but the toxic version 10/10,2026-02-19T06:28:08.053Z,STAR_5
"Beautiful, dramatic, tragic, and great acting. 10/10",2026-02-19T03:41:39.515Z,STAR_5
"I want to say it was almost as bad as Twilight, but that would be an insult to the Twilight",2026-02-19T03:08:11.668Z,STAR_0_5
"Completely weirded out by the gross S&M they slapped all over this. I love this novel so much, and the bastardization of this just went too far.",2026-02-19T01:50:34.848Z,STAR_0_5
This could have been an email,2026-02-19T00:54:32.948Z,STAR_0_5
Everyone should see this movie. Well done!!! I left in tears.,2026-02-19T00:34:54.681Z,STAR_5
Interesting and sexy and sad and funny and tons of other things but lacked chemistry between Margot and Jacob,2026-02-19T00:12:33.471Z,STAR_2_5
"At first the movie was just okay. I felt like not much was really happening, but I was captivated by the imagery, the colors, the costumes, and the visuals. I thought they were incredible. But the end of the movie HOLY GUT PUNCH. It was stunning, absolutely ever single thing I could have hoped for. This one will stick with me for a while.",2026-02-18T23:50:25.477Z,STAR_4
"Visually stunning. Very different from the book, but this was to be expected. Worth a watch! Love the cast and Charli",2026-02-18T23:08:40.011Z,STAR_4
i broke down!!!! this movie 100/10 loved it so much,2026-02-18T21:43:42.646Z,STAR_5
"it was a beautiful film, period. was it an accurate recreation of the original text? no. that’s why the title is in quotation marks. we should be able to distinguish between two artistic works and give appreciation to each. if this was marketed to be an exact interpretive film, sure, we can be upset and raise our eyebrows, but it seemed very clear to me going in that this was how the book made fennell feel when she read it, not an exact recreation. the acting was good, cinematography was unreal, it pulled me in, brought up emotions, stirred discussion and led me to want to reread wuthering heights. if you can’t see past this just being a ""sex film"" then you should really evaluate the deeper themes. why is this being demonized? there are further discussions to be had on casting choices, yes. however overall i still would interpret this as a very solid film without the stupid netflix lighting, something we don’t get often. maybe an unpopular opinion but i recommend watching open minded.",2026-02-18T19:34:15.918Z,STAR_5
This film has utterly consumed me.,2026-02-18T19:02:50.510Z,STAR_5
Absolutely brilliantly photographed and insane costume and art direction. Less emotionally engaging than your typical episode of Bridgerton. It felt more like a lushly filmed Wuthering Heights fan fiction than a story that was more in line with the novel.,2026-02-18T18:55:52.865Z,STAR_2
I love Margot Robbie but this movie was nothing special.,2026-02-18T18:04:24.550Z,STAR_3
"This movie was terrible, seems like they tried in the beginning but towards the end just wanted to get end it with no good conclusion. I thought it would be emotional, romantic and scandalous. Literally lacked all three.",2026-02-18T17:15:24.373Z,STAR_1
It was so well done! Similarities to the 1039 black and white Wyler version’s scenes and lines with a modern edgy newness all it own and beautiful set and design.,2026-02-18T17:13:43.948Z,STAR_5
"Beautiful movie, both visually and due to the twisted and tragic love story between Cathy and Heathcliff.  The costuming alone deserves an Oscar from my humble opinion. I was also pleasantly surprised at the humor woven throughout this film. The one note that I have is regarding the character of Heathcliff as an adult, I didnt quite understand how he became well to do and it wasnt explained very well in the film. I also thought that they made the look of his character, a little too haggard looking with the gold tooth, cane, and disheveled hair.  Lastly, I know its acting, but it did throw me a little bit knowing that an English period piece was being led by two Aussie actors.  The accents were okay but not great. The highlight for me were the children playing the younger versions. The performances were heartfelt touching, and I cried thinking about their scenes in the firm for days following.  So touching.  Great seeing the boy from Adolescence!",2026-02-18T15:12:48.667Z,STAR_4
"Why I give this movie so many stars is because of the movie stars in it.  Because all of the actors in this remake based on the classic book by Bronte were absolutely grand and pulled you into their plight. They were awesome in their craft.
The movie was a re-vision and pretty far off from the actual book, but made held the theme of how pride can destroy beautiful things.

What was off putting and brought down my rating was the costume, music and art direction the directors overuse of arty scene made the move much longer than need be. 

So of the costume lost the immersion as they had the feel of Goth Barbie meets my little ponysorry there was no iridescent plastic fabric back then.

The sets and environment too had me thinking they were in a Tim Burton, Beatle Juice version of Charls Dickson England and I expected a sand-worm to pop up or Ebenezer with braces to appear.

Only half the music fit as it was timeless orchestra, but the modern contemporary, again lost the immersion.

In short, those who dont know the book will enjoy the torrid love story, or character (including some left out of this version) along with those who know nothing of the period wont notice the strange modern plugs the director made.",2026-02-18T15:11:57.278Z,STAR_3
"Photography was beautiful. I enjoyed  the views from the cliffs.  The movie story itself was a little different from original, but overall I like it.",2026-02-18T14:57:46.650Z,STAR_4
"Bad. Just Bad. One of the worst things you can do is have a movie, especially a romance, where both characters are so unlikable the entire movie then expect you to root for them in the end. I never could figure out what their endgame would be because they were so jumbled with their emotions so I checked out pretty early on. Overall, I disliked this movie much more than I expected. If I had to say something good, it would be that it was shot and looked really good.
•
4/10",2026-02-18T14:49:21.715Z,STAR_2
"If you’re looking for a close adaptation of the book this ain’t it. But if you like watching pretty people on screen who act well and are able to make you root for who is Supposed to be the Antagonist, then this will do.",2026-02-18T13:09:37.405Z,STAR_4
Too much sex. It was more a BDSM movie. Basically soft core porn. Took a masterpiece and trashed it. It was Fifty Shades of Grey meets the Victorian era. It was slop.,2026-02-18T13:01:23.483Z,STAR_1
"The hype in marketing led me to expect different or more. Beautiful cinematography didnt help me enjoy dark and dreary scenes for over two hours, despite a very compelling story.",2026-02-18T12:12:42.532Z,STAR_2_5
Absolutely incredible! The acting was spot on. Jacob Elordi is a God! Margot Robbie is perfection! Loved it!,2026-02-18T08:25:51.644Z,STAR_5
"beautifully filmed and directed! the set designs and costumes set the tone for every scene, and emotion being portrayed beautifully",2026-02-18T08:01:12.038Z,STAR_5
"Too long 
Over the top interpretation. I didnt care about the love story. They seemed like selfish shallow people.",2026-02-18T07:18:34.977Z,STAR_1
"Artistically, a stunning masterpiece with the conveyance of color to match the mood/scene/actors.  The flowing bridal scene in particular absolutely took my breath away as I gasped aloud in the theater.  I will definitely see this treasure of a film again.",2026-02-18T05:55:37.793Z,STAR_5
"So good, great storyline. Romance off the charts, chemistry through the entire movie with the cast.",2026-02-18T05:22:40.036Z,STAR_5
"Must watch!! don't listen to the hard-core book stan's, it was amazing and i felt so many emotions throughout!! coming from as a someone who read the book multiple times !!!",2026-02-18T04:43:25.526Z,STAR_5
